hcpcs_code,hcpcs_desc,tot_services,num_npi,num_per_npi
99213,"Established patient office or other outpatient visit, typically 15 minutes",3306793.0,5207,635.07
99214,"Established patient office or other outpatient, visit typically 25 minutes",2127568.0,4834,440.13
99204,"New patient office or other outpatient visit, typically 45 minutes",1429215.1,4593,311.17
99203,"New patient office or other outpatient visit, typically 30 minutes",1257750.0,4199,299.54
99212,"Established patient office or other outpatient visit, typically 10 minutes",881979.2,3094,285.06
99232,"Subsequent hospital inpatient care, typically 25 minutes per day",723536.0,3088,234.31
A9585,"Injection, gadobutrol, 0. 1 ml",604303.8,55,10987.34
99231,"Subsequent hospital inpatient care, typically 15 minutes per day",588497.0,2646,222.41
J0585,"Injection, onabotulinumtoxina, 1 unit",586645.0,9,65182.78
63048,Partial removal of spine bone with release of spinal cord or nerves,550114.0,2639,208.46
22614,"Fusion of spine bones, posterior or posterolateral approach, additional interspace",520018.0,1924,270.28
63047,Partial removal of middle spine bone with release of spinal cord or nerves,449656.0,2985,150.64
99223,"Initial hospital inpatient care, typically 70 minutes per day",441597.0,2674,165.14
99222,"Initial hospital inpatient care, typically 50 minutes per day",404089.0,2978,135.69
99215,"Established patient office or other outpatient, visit typically 40 minutes",394072.0,2307,170.82
99205,"New patient office or other outpatient visit, typically 60 minutes",366605.0,2275,161.15
22853,Insertion of device into intervertebral disc space of spine and fusion of vertebrae,353962.0,2137,165.64
99221,"Initial hospital inpatient care, typically 30 minutes per day",317970.0,2823,112.64
J2274,"Injection, morphine sulfate, preservative-free for epidural or intrathecal use, 10 mg",285812.0,3,95270.67
Q9967,"Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml",274764.0,33,8326.18
22851,Insertion of spinal instrumentation for spinal stabilization,245039.0,1958,125.15
99233,"Subsequent hospital inpatient care, typically 35 minutes per day",239896.0,1419,169.06
72100,"X-ray of lower and sacral spine, 2 or 3 views",189348.0,780,242.75
22842,"Insertion of posterior spinal instrumentation for spinal stabilization, 3 to 6 vertebral segments",185849.0,2030,91.55
J1170,"Injection, hydromorphone, up to 4 mg",174010.0,3,58003.33
99202,"New patient office or other outpatient visit, typically 20 minutes",173782.0,1394,124.66
72110,"X-ray of lower and sacral spine, minimum of 4 views",148165.0,490,302.38
22551,"Fusion of spine bones with removal of disc at upper spinal column, anterior approach",135866.0,1757,77.33
22633,"Fusion of lower spine bones with removal of disc, combined posterior, posterolateral or interbody approach",127728.0,1292,98.86
22840,"Insertion of spinal instrumentation at base of neck for stabilization, 1 interspace",113723.0,1479,76.89
99291,"Critical care delivery critically ill or injured patient, first 30-74 minutes",111913.0,463,241.71
22612,"Fusion of lower spine bones, posterior or posterolateral approach",109892.0,1309,83.95
A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",107780.5,92,1171.53
97110,"Therapeutic exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",104018.0,103,1009.88
22845,"Insertion of anterior spinal instrumentation for spinal stabilization, 2 to 3 vertebral segments",102172.0,1535,66.56
72040,"X-ray of spine, 3 views or less",98902.0,667,148.28
72148,MRI scan of lower spinal canal,88899.0,358,248.32
J3301,"Injection, triamcinolone  acetonide, not otherwise specified, 10 mg",81911.4,56,1462.7
36224,Insertion of catheter into neck artery for diagnosis or treatment,79332.0,456,173.97
22552,"Fusion of spine bones with removal of disc at upper spinal column, anterior approach",79019.0,955,82.74
